"","Datum","Warengruppe","Umsatz","wochentag","jahreszeit","holiday","KielerWoche","Bewoelkung","Temperatur","Windgeschwindigkeit","Wettercode","spl"
"1",2013-07-01,1,148.828353112183,"Monday","Sommer",FALSE,NA,6,17.8375,15,20,TRUE
"2",2013-07-02,1,159.79375714468,"Tuesday","Sommer",FALSE,NA,3,17.3125,10,NA,TRUE
"3",2013-07-04,1,168.864940979931,"Thursday","Sommer",FALSE,NA,7,18.85,7,20,TRUE
"4",2013-07-05,1,171.280754117955,"Friday","Sommer",FALSE,NA,5,19.975,12,NA,TRUE
"5",2013-07-08,1,135.500244042392,"Monday","Sommer",FALSE,NA,0,22.725,10,5,TRUE
"6",2013-07-09,1,136.048382778344,"Tuesday","Sommer",FALSE,NA,0,23.275,8,NA,TRUE
"7",2013-07-10,1,135.132314289581,"Wednesday","Sommer",FALSE,NA,2,19.6875,13,5,TRUE
"8",2013-07-11,1,138.549392636714,"Thursday","Sommer",FALSE,NA,0,21.375,12,5,TRUE
"9",2013-07-12,1,101.447511461298,"Friday","Sommer",FALSE,NA,0,20.2875,7,NA,TRUE
"10",2013-07-13,1,141.233309883732,"Saturday","Sommer",FALSE,NA,1,20.125,12,NA,TRUE
"11",2013-07-15,1,161.264677322182,"Monday","Sommer",FALSE,NA,6,18.7375,12,NA,TRUE
"12",2013-07-16,1,116.821358174215,"Tuesday","Sommer",FALSE,NA,1,21.1875,10,NA,TRUE
"13",2013-07-17,1,150.572919592838,"Wednesday","Sommer",FALSE,NA,5,22.5125,8,NA,TRUE
"14",2013-07-18,1,101.90072129658,"Thursday","Sommer",FALSE,NA,1,23.25,11,5,TRUE
"15",2013-07-20,1,134.328076682024,"Saturday","Sommer",FALSE,NA,0,23.1875,8,NA,TRUE
"16",2013-07-21,1,66.2887578161955,"Sunday","Sommer",FALSE,NA,0,26.375,8,NA,TRUE
"17",2013-07-23,1,110.315246796665,"Tuesday","Sommer",FALSE,NA,0,24.95,12,NA,TRUE
"18",2013-07-24,1,141.891908195545,"Wednesday","Sommer",FALSE,NA,3,24.075,11,NA,TRUE
"19",2013-07-25,1,167.701216640907,"Thursday","Sommer",FALSE,NA,2,23.0875,9,NA,TRUE
"20",2013-07-26,1,147.272084366206,"Friday","Sommer",FALSE,NA,3,27.2625,6,NA,TRUE
"21",2013-07-27,1,161.403357795112,"Saturday","Sommer",FALSE,NA,1,26.1625,10,NA,TRUE
"22",2013-07-28,1,86.0791432446654,"Sunday","Sommer",FALSE,NA,4,24.8875,13,61,TRUE
"23",2013-07-29,1,183.564164400591,"Monday","Sommer",FALSE,NA,1,22.7875,10,NA,TRUE
"24",2013-07-30,1,132.111640117897,"Tuesday","Sommer",FALSE,NA,5,21.075,13,21,TRUE
"25",2013-08-01,1,157.854023011106,"Thursday","Sommer",FALSE,NA,6,23.4,7,21,TRUE
"26",2013-08-02,1,117.359342094889,"Friday","Sommer",FALSE,NA,0,31.4375,7,NA,TRUE
"27",2013-08-03,1,186.027178770079,"Saturday","Sommer",FALSE,NA,4,23.3625,11,63,TRUE
"28",2013-08-04,1,104.708216687715,"Sunday","Sommer",FALSE,NA,3,23.05,8,NA,TRUE
"29",2013-08-05,1,146.775309890073,"Monday","Sommer",FALSE,NA,0,25.8,10,NA,TRUE
"30",2013-08-07,1,160.593417296116,"Wednesday","Sommer",FALSE,NA,4,19.2125,8,NA,TRUE
"31",2013-08-09,1,125.620344387906,"Friday","Sommer",FALSE,NA,4,20.3375,10,21,TRUE
"32",2013-08-11,1,73.2088330039992,"Sunday","Sommer",FALSE,NA,7,16.3875,9,61,TRUE
"33",2013-08-12,1,154.504729536697,"Monday","Sommer",FALSE,NA,7,16.45,11,63,TRUE
"34",2013-08-13,1,134.064451548102,"Tuesday","Sommer",FALSE,NA,3,16.4,16,95,TRUE
"35",2013-08-14,1,156.972510536869,"Wednesday","Sommer",FALSE,NA,4,18.2625,18,61,TRUE
"36",2013-08-15,1,164.763795399756,"Thursday","Sommer",FALSE,NA,3,19.8,8,NA,TRUE
"37",2013-08-17,1,221.630418006017,"Saturday","Sommer",FALSE,NA,6,20.55,7,0,TRUE
"38",2013-08-20,1,111.842396126739,"Tuesday","Sommer",FALSE,NA,7,17.775,8,61,TRUE
"39",2013-08-22,1,132.916428220302,"Thursday","Sommer",FALSE,NA,4,21.6625,8,NA,TRUE
"40",2013-08-23,1,162.958958703106,"Friday","Sommer",FALSE,NA,1,22.0375,14,NA,TRUE
"41",2013-08-24,1,201.543109556297,"Saturday","Sommer",FALSE,NA,0,20.85,16,5,TRUE
"42",2013-08-25,1,83.0226725739551,"Sunday","Sommer",FALSE,NA,0,21.3875,16,5,TRUE
