"Datum" "Warengruppe" "Umsatz" "wochentag" "jahreszeit" "monat" "holiday" "sylvester" "dayoff_after" "dayoff_b4" "VerlaengertesWE_Mo" "VerlaengertesWE_Fr" "schulferien" "KielerWoche" "Bewoelkung" "Temperatur" "Windgeschwindigkeit" "Wettercode" "mean" "Temp_abweichung" "warmTemp" "Temperatur_labels"
"1" 2013-07-01 1 148.828353112183 "Monday" "Sommer" "07" FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE 6 17.8375 "Wind" "RegenGewitter" 20.7511422712551 0 FALSE "moderat"
"2" 2013-07-02 1 159.79375714468 "Tuesday" "Sommer" "07" FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE 3 17.3125 "Brise" "Trocken" 20.7511422712551 0 FALSE "moderat"
"3" 2013-07-03 1 111.885593514353 "Wednesday" "Sommer" "07" FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE 7 21.075 "Brise" "RegenGewitter" 20.7511422712551 0 TRUE "sommerlich"
"4" 2013-07-04 1 168.864940979931 "Thursday" "Sommer" "07" FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE 7 18.85 "Brise" "RegenGewitter" 20.7511422712551 0 TRUE "moderat"
"5" 2013-07-05 1 171.280754117955 "Friday" "Sommer" "07" FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE 5 19.975 "Wind" "Trocken" 20.7511422712551 0 TRUE "moderat"
"6" 2013-07-06 1 174.552359998476 "Saturday" "Sommer" "07" FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE 0 18.9625 "Brise" "Trocken" 20.7511422712551 0 TRUE "moderat"
"7" 2013-07-07 1 92.6377553788373 "Sunday" "Sommer" "07" FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE 0 21.375 "Brise" "Trocken" 20.7511422712551 0 TRUE "sommerlich"
"8" 2013-07-08 1 135.500244042392 "Monday" "Sommer" "07" FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE 0 22.725 "Brise" "Trocken" 20.7511422712551 0 TRUE "sommerlich"
"9" 2013-07-09 1 136.048382778344 "Tuesday" "Sommer" "07" FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE 0 23.275 "Brise" "Trocken" 20.7511422712551 0 TRUE "sommerlich"
"10" 2013-07-10 1 135.132314289581 "Wednesday" "Sommer" "07" FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE 2 19.6875 "Wind" "Trocken" 20.7511422712551 0 TRUE "moderat"
"11" 2013-07-11 1 138.549392636714 "Thursday" "Sommer" "07" FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE 0 21.375 "Wind" "Trocken" 20.7511422712551 0 TRUE "sommerlich"
"12" 2013-07-12 1 101.447511461298 "Friday" "Sommer" "07" FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE 0 20.2875 "Brise" "Trocken" 20.7511422712551 0 TRUE "moderat"
"13" 2013-07-13 1 141.233309883732 "Saturday" "Sommer" "07" FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE 1 20.125 "Wind" "Trocken" 20.7511422712551 0 TRUE "moderat"
"14" 2013-07-14 1 112.524365708762 "Sunday" "Sommer" "07" FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE 5 17.6875 "Wind" "Trocken" 20.7511422712551 0 FALSE "moderat"
"15" 2013-07-15 1 161.264677322182 "Monday" "Sommer" "07" FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE 6 18.7375 "Wind" "Trocken" 20.7511422712551 0 TRUE "moderat"
"16" 2013-07-16 1 116.821358174215 "Tuesday" "Sommer" "07" FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE 1 21.1875 "Brise" "Trocken" 20.7511422712551 0 TRUE "sommerlich"
"17" 2013-07-17 1 150.572919592838 "Wednesday" "Sommer" "07" FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE 5 22.5125 "Brise" "Trocken" 20.7511422712551 0 TRUE "sommerlich"
"18" 2013-07-18 1 101.90072129658 "Thursday" "Sommer" "07" FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE 1 23.25 "Wind" "Trocken" 20.7511422712551 0 TRUE "sommerlich"
"19" 2013-07-19 1 161.63511518654 "Friday" "Sommer" "07" FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE 3 22.475 "Wind" "Trocken" 20.7511422712551 0 TRUE "sommerlich"
"20" 2013-07-20 1 134.328076682024 "Saturday" "Sommer" "07" FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE 0 23.1875 "Brise" "Trocken" 20.7511422712551 0 TRUE "sommerlich"
"21" 2013-07-21 1 66.2887578161955 "Sunday" "Sommer" "07" FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE 0 26.375 "Brise" "Trocken" 20.7511422712551 0 TRUE "sommerlich"
